Visit #     JD        Prim. Vel. (km/s)   Sec. Vel. (km/s)  R Value
  1    2455967.0175          -6.2650          -34.7476        13.2817202
  2    2456024.9109         -10.7836          -33.2518        17.1237392
  3    2456078.7049         -10.0207          -29.5116        15.0089455
  4    2456082.7053         -11.0349          -33.3964        13.6836367
  5    2455968.0119         -10.3427          -32.8249        14.9857731
  6    2456051.8021         -10.3950          -27.7395        16.2041893
  7    2456080.7164         -10.0772          -32.5284        14.4430399
  8    2456053.8056         -11.1154          -27.8715        17.4545460
  9    2456086.7045         -11.7366          -34.0980        12.0181675
 10    2456106.6429          -6.5803          -33.0475        11.9171038
 11    2456054.8064         -13.6242          -27.0274        13.9355621
 12    2456109.6541         -25.7685           -2.4760        13.1267347
 13    2456345.9994         -10.5587          -26.3018        14.0254517
 14    2456347.0069         -10.1712          -24.5249        10.6459980
