Visit #     JD        Prim. Vel. (km/s)   Sec. Vel. (km/s)  R Value
  1    2455870.6160         -70.6317           53.5978         4.7624402
  2    2456170.7919         -79.1218           44.1314         4.3378534
  3    2456193.7333         -79.2737           44.9558         4.8780875
  4    2455869.6221           3.7443          -27.7319        10.7471638
  5    2456171.7829          10.0889          -47.9463         7.4811416
  6    2456204.6936           4.0093          -40.3506         7.4983544
  7    2456205.7364          26.4763          -67.7355         7.8254738
  8    2456221.7010          40.4251          -80.7414         8.6789141
  9    2456231.6930          44.1514          -80.0781         8.4449186
 10    2456206.7158         -73.3623           35.9396         5.1185694
 11    2456223.6801         -76.5748           41.6522         4.9817090
 12    2456232.6857         -34.0744           -0.5699         8.0178967
