    Julian Date   Prim. Vel. (km/s)   Sec. Vel. (km/s)  Residuals
    2456168.941          -8.7866           49.1936         0.0224
    2456170.899          18.3104           18.3104         1.5270
    2456171.976          -2.8749           45.3087         1.6454
    2456172.974         -12.5338           48.5727         3.1260
    2456174.926          20.6645           20.6645         1.8009
    2456235.774          -9.3226           48.6576         0.7354
    2456262.683          17.6511           17.6511         2.4590
    2456282.621          -4.4921           46.4765         1.2736
    2456283.624          15.5228           27.9942         3.1051
